trade_id,type,event,entry,price,tp_level,roi_pct,pips,time
1591.0,LONG,OPEN,4576.31,4576.31,,,,2026-05-04 17:43:04
1591.0,LONG,SL_HIT,4576.31,4565.67,,-1.0,-100,2026-05-04 17:58:04
9685.0,SHORT,OPEN,4518.19,4518.19,,,,2026-05-04 19:35:05
9685.0,SHORT,TP_HIT,4518.19,4513.19,TP1,0.5,50,2026-05-04 19:43:05
9685.0,SHORT,TP_HIT,4518.19,4508.05,TP2,1.0,100,2026-05-04 19:54:04
9685.0,SHORT,SESSION_CLOSE,4518.19,4511.8,,1.0,100,2026-05-04 20:00:03
7473.0,SHORT,OPEN,4533.21,4533.21,,,,2026-05-05 08:00:05
7473.0,SHORT,SL_HIT,4533.21,4545.14,,-1.0,-100,2026-05-05 08:09:03
5168.0,LONG,OPEN,4544.78,4544.78,,,,2026-05-05 08:57:05
5168.0,LONG,SL_HIT,4544.78,4534.64,,-1.0,-100,2026-05-05 09:26:04
5685.0,LONG,OPEN,4550.57,4550.57,,,,2026-05-05 11:48:02
5685.0,LONG,TP_HIT,4550.57,4556.82,TP1,0.5,50,2026-05-05 11:54:03
2585,LONG,OPEN,4558.69,4558.69,,,,2026-05-05 15:09:02
2585,LONG,TP_HIT,4558.69,4564.45,TP1,0.5,50,2026-05-05 15:12:04
2585,LONG,TP_HIT,4558.69,4568.85,TP2,1,100,2026-05-05 15:24:05
2585,LONG,TP_HIT,4558.69,4579.65,TP3,2,200,2026-05-05 16:09:04
2585,LONG,SESSION_CLOSE,4558.69,4561.31,,2,200,2026-05-05 20:00:02
6506,LONG,OPEN,4659.39,4659.39,,,,2026-05-06 09:19:04
6506,LONG,TP_HIT,4659.39,4665.47,TP1,0.5,50,2026-05-06 09:26:02
6506,LONG,TP_HIT,4659.39,4669.84,TP2,1,100,2026-05-06 10:00:03
6506,LONG,TP_HIT,4659.39,4681.28,TP3,2,200,2026-05-06 11:00:03
6506,LONG,TP_HIT,4659.39,4711.25,TP4,5,500,2026-05-06 13:31:04
6506,LONG,ALL_TP_HIT,4659.39,4711.25,,5,500,2026-05-06 13:31:05
9191,LONG,OPEN,4712.56,4712.56,,,,2026-05-06 14:18:04
